# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline      ee        chie
  7142.3456        1.2293467        1.1585705      -0.16951655        1.2197642        20.345600       0.70776200E-01
  7142.6810        1.2305564        1.1587934      -0.16970864        1.2193581        20.681000       0.71763000E-01
  7143.0165        1.2285678        1.1590088      -0.16990075        1.2189521        21.016500       0.69559000E-01
  7143.5034        1.2203257        1.1593084      -0.17017965        1.2183629        21.503400       0.61017300E-01
  7143.9688        1.2097022        1.1595803      -0.17044620        1.2178000        21.968800       0.50121900E-01
  7144.3693        1.1974111        1.1598030      -0.17067558        1.2173157        22.369300       0.37608100E-01
  7144.6616        1.1865185        1.1599591      -0.17084299        1.2169624        22.661600       0.26559400E-01
  7145.0081        1.1728950        1.1601371      -0.17104141        1.2165436        23.008100       0.12757900E-01
  7145.5061        1.1548904        1.1603798      -0.17132668        1.2159418        23.506100      -0.54894000E-02
  7145.9285        1.1390832        1.1605735      -0.17156857        1.2154317        23.928500      -0.21490300E-01
  7146.1342        1.1320942        1.1606639      -0.17168642        1.2151832        24.134200      -0.28569700E-01
  7147.1308        1.0998926        1.1610653      -0.17225719        1.2139803        25.130800      -0.61172700E-01
  7148.3769        1.0672428        1.1614840      -0.17297088        1.2124774        26.376900      -0.94241200E-01
  7149.4825        1.0462001        1.1617804      -0.17360411        1.2111451        27.482500      -0.11558030
  7150.7729        1.0305708        1.1620399      -0.17434313        1.2095915        28.772900      -0.13146910
  7151.9661        1.0203347        1.1621998      -0.17502651        1.2081562        29.966100      -0.14186510
  7153.2031        1.0129244        1.1622872      -0.17573499        1.2066694        31.203100      -0.14936280
  7154.5382        1.0093910        1.1622953      -0.17649969        1.2050662        32.538200      -0.15290430
  7155.7110        1.0107830        1.1622315      -0.17717138        1.2036593        33.711000      -0.15144850
  7157.0580        1.0182706        1.1620796      -0.17794286        1.2020448        35.058000      -0.14380900
  7158.3621        1.0302146        1.1618560      -0.17868974        1.2004833        36.362100      -0.13164140
  7159.6775        1.0426520        1.1615576      -0.17944313        1.1989096        37.677500      -0.11890560
  7161.1349        1.0576181        1.1611459      -0.18027780        1.1971680        39.134900      -0.10352780
  7162.3752        1.0716599        1.1607317      -0.18098818        1.1956872        40.375200      -0.89071800E-01
  7163.8554        1.0946207        1.1601651      -0.18183598        1.1939217        41.855400      -0.65544400E-01
  7165.2383        1.1318477        1.1595688      -0.18262800        1.1922740        43.238300      -0.27721100E-01
  7166.5673        1.1753118        1.1589386      -0.18338914        1.1906921        44.567300       0.16373200E-01
  7168.1256        1.2199916        1.1581334      -0.18428167        1.1888392        46.125600       0.61858200E-01
  7169.6520        1.2569450        1.1572807      -0.18515587        1.1870263        47.652000       0.99664300E-01
  7171.0481        1.2828485        1.1564500      -0.18595548        1.1853699        49.048100       0.12639850
  7172.5757        1.2985035        1.1554906      -0.18683042        1.1835594        50.575700       0.14301290
  7174.1587        1.3049304        1.1544466      -0.18773702        1.1816856        52.158700       0.15048380
  7175.6768        1.3015198        1.1534032      -0.18860649        1.1798905        53.676800       0.14811660
  7177.2065        1.2871232        1.1523157      -0.18948261        1.1780837        55.206500       0.13480750
  7178.9337        1.2605068        1.1510512      -0.19047184        1.1760461        56.933700       0.10945560
  7180.5524        1.2322326        1.1498376      -0.19139890        1.1741389        58.552400       0.82395000E-01
  7182.1171        1.2065797        1.1486446      -0.19229507        1.1722974        60.117100       0.57935100E-01
  7183.6825        1.1838061        1.1474373      -0.19319164        1.1704573        61.682500       0.36368800E-01
  7185.4567        1.1639835        1.1460568      -0.19420782        1.1683742        63.456700       0.17926700E-01
  7187.2319        1.1441377        1.1446629      -0.19522453        1.1662927        65.231900      -0.52520000E-03
  7188.9312        1.1256682        1.1433168      -0.19619779        1.1643028        66.931200      -0.17648600E-01
  7190.5875        1.1096090        1.1419940      -0.19714640        1.1623657        68.587500      -0.32385000E-01
  7192.3105        1.0955437        1.1406067      -0.19813319        1.1603532        70.310500      -0.45063000E-01
  7194.1551        1.0865875        1.1391089      -0.19918966        1.1582014        72.155100      -0.52521400E-01
  7196.0336        1.0848043        1.1375704      -0.20026557        1.1560131        74.033600      -0.52766100E-01
  7197.8472        1.0896318        1.1360727      -0.20130429        1.1539033        75.847200      -0.46440900E-01
  7199.5848        1.0976847        1.1346265      -0.20229945        1.1518847        77.584800      -0.36941800E-01
  7201.3452        1.1061971        1.1331502      -0.20330772        1.1498422        79.345200      -0.26953100E-01
  7203.3158        1.1127269        1.1314847      -0.20443632        1.1475591        81.315800      -0.18757800E-01
