# data from ifeffit
#------------------------
#   energy      xmu       bkg       deriv
  7219.0322       0.97230899       0.95761640       0.29554319E-01
  7221.2010       0.97679123       0.95710113       0.79769954E-02
  7223.3269       0.97549979       0.95658637      -0.18700943E-01
  7225.4540       0.96931085       0.95606188      -0.38361121E-01
  7227.5271       0.96015534       0.95554188      -0.51011423E-01
  7229.6901       0.94890628       0.95499019      -0.58084906E-01
  7231.9100       0.93692138       0.95441455      -0.56794022E-01
  7234.0757       0.92618867       0.95384392      -0.43716620E-01
  7236.2428       0.91943473       0.95326425      -0.18606446E-01
  7238.4892       0.91874609       0.95265445       0.18959625E-01
  7240.7815       0.92701858       0.95202304       0.42661970E-01
  7243.0196       0.93581088       0.95139788       0.51668341E-01
  7245.2257       0.94768592       0.95077353       0.52215450E-01
  7247.5225       0.95669706       0.95011519       0.34494348E-01
  7249.8877       0.96148366       0.94942861       0.12713699E-01
  7252.2322       0.96178254       0.94873968      -0.31477943E-02
  7254.4441       0.96022454       0.94808232      -0.82747211E-02
  7256.8923       0.95847265       0.94734668      -0.44308652E-02
  7259.2080       0.95845219       0.94664334       0.45470800E-02
  7261.6595       0.96029148       0.94589104       0.11393245E-01
  7263.9447       0.96300949       0.94518296       0.12724692E-01
  7266.3884       0.96538136       0.94441876       0.10037045E-01
  7268.9011       0.96702431       0.94362575       0.46995858E-02
  7271.3707       0.96726120       0.94283952      -0.44827520E-02
  7273.9207       0.96523121       0.94202094      -0.15394945E-01
  7276.5063       0.96110322       0.94118428      -0.25605896E-01
  7279.0825       0.95498885       0.94034436      -0.34241023E-01
  7281.4918       0.94740681       0.93955354      -0.41851845E-01
  7284.1280       0.93824811       0.93868261      -0.46696132E-01
  7286.6761       0.92872836       0.93783566      -0.45620717E-01
  7289.1808       0.91999983       0.93699848      -0.41883974E-01
  7291.9020       0.91197477       0.93608418      -0.30942879E-01
  7294.6478       0.90762267       0.93515694      -0.13845581E-01
  7297.3619       0.90643653       0.93423630       0.14415670E-03
  7299.8969       0.90768034       0.93337304       0.13389162E-01
  7302.5698       0.91179220       0.93245975       0.23286262E-01
  7305.3240       0.91699484       0.93151574       0.26375607E-01
  7308.1031       0.92234244       0.93056066       0.26504315E-01
  7310.9298       0.92759657       0.92958706       0.22600936E-01
