# data from ifeffit
# kmin =    2.5000000     
# kmax =    13.000000     
# dk1 =    1.5000000     
# dk2 =    1.5000000     
# kweight =    2.0000000     
# rmin =   0.90000000     
# rmax =    2.0000000     
# dr1 =   0.20000000     
# dr2 =   0.20000000     
#------------------------
#   r         chir_mag      chir_re      rwin
  2.9145635       0.46007713      -0.13072251        0.0000000
  2.9452431       0.35205781       0.51102620E-01    0.0000000
  2.9759227       0.25686101       0.14619659        0.0000000
  3.0066023       0.17761913       0.15973956        0.0000000
  3.0372820       0.11807544       0.11635987        0.0000000
  3.0679616       0.84167041E-01   0.47069543E-01    0.0000000
  3.0986412       0.78913902E-01  -0.21803532E-01    0.0000000
  3.1293208       0.90326983E-01  -0.74247283E-01    0.0000000
  3.1600004       0.10503754      -0.10445697        0.0000000
  3.1906800       0.11825155      -0.11320796        0.0000000
  3.2213597       0.12918979      -0.10378669        0.0000000
  3.2520393       0.13793987      -0.79678198E-01    0.0000000
  3.2827189       0.14446731      -0.44421247E-01    0.0000000
  3.3133985       0.14851598      -0.25068525E-02    0.0000000
  3.3440781       0.14984118       0.40256725E-01    0.0000000
  3.3747577       0.14850784       0.77772629E-01    0.0000000
  3.4054373       0.14512348       0.10567010        0.0000000
  3.4361170       0.14093649       0.12297061        0.0000000
  3.4667966       0.13771631       0.13209865        0.0000000
  3.4974762       0.13730415       0.13689774        0.0000000
  3.5281558       0.14087429       0.13961143        0.0000000
  3.5588354       0.14833703       0.13859959        0.0000000
  3.5895150       0.15838901       0.12834650        0.0000000
  3.6201947       0.16910702       0.10214054        0.0000000
  3.6508743       0.17855752       0.56295682E-01    0.0000000
  3.6815539       0.18514231      -0.62182792E-02    0.0000000
  3.7122335       0.18772038      -0.74788192E-01    0.0000000
  3.7429131       0.18561717      -0.13369644        0.0000000
  3.7735927       0.17859052      -0.16739397        0.0000000
  3.8042724       0.16678492      -0.16636995        0.0000000
  3.8349520       0.15069219      -0.13112808        0.0000000
  3.8656316       0.13114206      -0.72569776E-01    0.0000000
  3.8963112       0.10937678      -0.86088431E-02    0.0000000
  3.9269908       0.87356091E-01   0.41632765E-01    0.0000000
  3.9576704       0.68632914E-01   0.63845603E-01    0.0000000
  3.9883500       0.59581269E-01   0.52683306E-01    0.0000000
  4.0190297       0.65776144E-01   0.12865852E-01    0.0000000
  4.0497093       0.84019483E-01  -0.42738481E-01    0.0000000
  4.0803889       0.10787771      -0.97065438E-01    0.0000000
  4.1110685       0.13361747      -0.13345037        0.0000000
  4.1417481       0.15946924      -0.13962470        0.0000000
  4.1724277       0.18450303      -0.11033177        0.0000000
  4.2031074       0.20813706      -0.48265527E-01    0.0000000
  4.2337870       0.22994084       0.36623801E-01    0.0000000
  4.2644666       0.24955871       0.12921710        0.0000000
  4.2951462       0.26669061       0.21231520        0.0000000
  4.3258258       0.28110461       0.27015835        0.0000000
  4.3565054       0.29266564       0.29163573        0.0000000
  4.3871851       0.30136787       0.27241284        0.0000000
  4.4178647       0.30735881       0.21542995        0.0000000
  4.4485443       0.31094447       0.12970128        0.0000000
  4.4792239       0.31256726       0.27905217E-01    0.0000000
  4.5099035       0.31275304      -0.76356829E-01    0.0000000
  4.5405831       0.31203124      -0.17074631        0.0000000
  4.5712627       0.31084145      -0.24532047        0.0000000
  4.6019424       0.30944902      -0.29270677        0.0000000
  4.6326220       0.30789470      -0.30789324        0.0000000
  4.6633016       0.30599578      -0.28831194        0.0000000
  4.6939812       0.30339944      -0.23455792        0.0000000
  4.7246608       0.29967202      -0.15149967        0.0000000
  4.7553404       0.29439880      -0.49037224E-01    0.0000000
  4.7860201       0.28727031       0.58341676E-01    0.0000000
  4.8166997       0.27814020       0.15366455        0.0000000
  4.8473793       0.26704904       0.22096433        0.0000000
  4.8780589       0.25421602       0.24916875        0.0000000
  4.9087385       0.24000495       0.23505895        0.0000000
  4.9394181       0.22487297       0.18418432        0.0000000
  4.9700978       0.20931228       0.10932118        0.0000000
