# data from ifeffit
#------------------------
#   k         chi       chi_kw      win       win2
  14.150000      -0.10560435E-03  -0.21144366E-01    0.0000000        0.0000000
  14.200000      -0.25322046E-04  -0.51059373E-02    0.0000000        0.0000000
  14.250000      -0.65922862E-04  -0.13386461E-01    0.0000000        0.0000000
  14.300000      -0.17598953E-03  -0.35988098E-01    0.0000000        0.0000000
  14.350000      -0.13280753E-03  -0.27348059E-01    0.0000000        0.0000000
  14.400000      -0.88460534E-04  -0.18343176E-01    0.0000000        0.0000000
  14.450000      -0.20037193E-04  -0.41838159E-02    0.0000000        0.0000000
  14.500000       0.17628728E-04   0.37064400E-02    0.0000000        0.0000000
  14.550000      -0.10796938E-03  -0.22857388E-01    0.0000000        0.0000000
  14.600000      -0.51735058E-04  -0.11027845E-01    0.0000000        0.0000000
  14.650000       0.65844898E-05   0.14131797E-02    0.0000000        0.0000000
  14.700000       0.20565890E-04   0.44440831E-02    0.0000000        0.0000000
  14.750000       0.43866522E-03   0.95437103E-01    0.0000000        0.0000000
  14.800000       0.27414447E-03   0.60048605E-01    0.0000000        0.0000000
  14.850000       0.89938731E-04   0.19833514E-01    0.0000000        0.0000000
  14.900000       0.16985363E-03   0.37709204E-01    0.0000000        0.0000000
  14.950000       0.73717601E-05   0.16476068E-02    0.0000000        0.0000000
  15.000000       0.12416897E-03   0.27938018E-01    0.0000000        0.0000000
  15.050000       0.21124286E-03   0.47847037E-01    0.0000000        0.0000000
  15.100000       0.18519677E-03   0.42226716E-01    0.0000000        0.0000000
  15.150000       0.20980442E-03   0.48154834E-01    0.0000000        0.0000000
  15.200000       0.17346325E-03   0.40076949E-01    0.0000000        0.0000000
  15.250000       0.14964170E-03   0.34801048E-01    0.0000000        0.0000000
  15.300000       0.20757226E-03   0.48590591E-01    0.0000000        0.0000000
  15.350000       0.17223463E-03   0.40582354E-01    0.0000000        0.0000000
  15.400000       0.19770609E-04   0.46887976E-02    0.0000000        0.0000000
  15.450000      -0.89807986E-04  -0.21437391E-01    0.0000000        0.0000000
  15.500000      -0.10800142E-03  -0.25947341E-01    0.0000000        0.0000000
  15.550000      -0.99360121E-04  -0.24025526E-01    0.0000000        0.0000000
  15.600000      -0.15224910E-03  -0.37051340E-01    0.0000000        0.0000000
  15.650000      -0.21790681E-03  -0.53370281E-01    0.0000000        0.0000000
  15.700000      -0.28274069E-03  -0.69692752E-01    0.0000000        0.0000000
  15.750000      -0.25725046E-03  -0.63814192E-01    0.0000000        0.0000000
  15.800000      -0.33948896E-03  -0.84750024E-01    0.0000000        0.0000000
